Word,Engl,EnglAnt,Dutch,DutchAnt,WordType,Comments about EnglAnt
hisohiso,whispering,shouting,fluisterend,roepend,RI,I think 'calling' is too ambiguous. I suggest something like 'shouting' 'yelling'.
hokahoka,steaming,cold,dampend,afgekoeld,RI,Steaming' as in 'steaming hot'. So 'cool/cold' is better.
kibikibi,energetic,lethargic,energiek,futloos,RI,
bukubuku,chubby,slim,mollig,slank,RI,
mushimushi,humid,dry,vochtig,droog,RI,
buruburu,shivering,sweating,rillend,zwetend,RI,
hikuhiku,agitated,calm,geagiteerd,onbewogen,RI,
ukiuki,happy,sad,gelukkig,bedroefd,RI,
boroboro,worn out,brand new,versleten,gloednieuw,RI,
gochagocha,messy,tidy,rommelig,opgeruimd,RI,
harahara,suspenseful,relaxing,ongedurig,ontspannen,RI,
berabera,chatty,reserved,spraakzaam,ingetogen,RI,I worry about the ambiguity of 'reserved'. Maybe 'quiet' or 'silent'?
tsuyatsuya,glossy,matte,glanzend,mat,RI,Maybe 'coarse' gets the idea better?
yurayura,wobbly,steady,wiebelend,stilzittend,RI,
gayagaya,noisy,quiet,lawaaiig,ingehouden,RI,
gowagowa,stiff,flexible,stijf,soepel,RI,
sekaseka,hasty,patient,haastig,gedulig,RI,
debudebu,fat,thin,dik,dun,RI,
zukezuke,rude,polite,kortaf,beleefd,RI,
mojimoji,hesitant,assured,aarzelend,overtuigd,RI,
hiso,whispering,calling,fluisterend,roepend,SRI,
hoka,steaming,cooling,dampend,afgekoeld,SRI,
kibi,energetic,lethargic,energiek,futloos,SRI,
buku,chubby,slim,mollig,slank,SRI,
mushi,humid,dry,vochtig,droog,SRI,
buru,shivering,sweating,rillend,zwetend,SRI,
hiku,agitated,calm,geagiteerd,onbewogen,SRI,
uki,happy,sad,gelukkig,bedroefd,SRI,
boro,worn out,brand new,versleten,gloednieuw,SRI,
gocha,messy,tidy,rommelig,opgeruimd,SRI,
hara,suspenseful,relaxing,ongedurig,ontspannen,SRI,
bera,chatty,reserved,spraakzaam,ingetogen,SRI,
tsuya,glossy,matte,glanzend,mat,SRI,
yura,wobbly,steady,wiebelend,stilzittend,SRI,
gaya,noisy,quiet,lawaaiig,ingehouden,SRI,
gowa,stiff,flexible,stijf,soepel,SRI,
seka,hasty,patient,haastig,gedulig,SRI,
debu,fat,thin,dik,dun,SRI,
zuke,rude,polite,kortaf,beleefd,SRI,
moji,hesitant,assured,aarzelend,overtuigd,SRI,
kachin,offended,pleased,beledigd,tevreden,NRI,
gaku,dejected,ecstatic,neerslachtig,opgewekt,NRI,
poka,gaping,narrow,gapend (gat),nauw (gaatje),NRI,
gashi,sturdy,frail,stevig,fragiel,NRI,
pata,sudden,gradual,plotseling,geleidelijk,NRI,
pisha,decisive,hesitant,voortvarend,weifelend,NRI,
musu,sullen,joyful,nors,blij,NRI,
